10	24.79
  4000.3      41	12,13,8,9,14,10,5,6,27,7,15,23,2,17,20,25,11,4,16,3,30,21,29,28,19,26,24,22,1,18	5,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,1,0,1,3,0,4,0,0,0,0,0
 3999.36      33	12,13,8,10,14,9,5,6,27,7,15,22,24,26,19,28,29,21,30,3,16,4,11,25,20,17,2,23,1,18	5,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,0,1,0,0,4,0,0,2,0,0
 3797.77      16	12,13,8,10,27,9,14,5,30,19,28,23,18,24,29,15,7,3,16,4,6,26,22,21,11,25,20,17,2,1	5,5,1,2,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,1,0,2,3,0,4,0,0,2,0,0
 3989.14      23	12,13,8,10,27,9,14,5,7,15,20,26,29,25,3,22,24,18,17,19,6,11,28,23,21,30,4,2,16,1	5,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,1,2,1,0,0,4,3,1,0,0,0,0,0,0
 3987.53      18	12,13,8,10,14,9,5,7,27,15,20,26,29,25,3,22,24,18,17,19,6,11,28,23,21,30,4,2,16,1	5,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,1,2,2,0,0,4,3,2,0,0,0,0,0,0
 3794.22      11	12,13,8,10,14,9,5,7,27,20,17,2,19,26,1,24,22,23,4,29,6,25,11,28,3,16,15,30,21,18	5,0,1,0,0,0,0,0,0,0,5,0,0,0,0,2,2,1,0,0,0,4,3,2,0,0,0,0,0,0
 3397.26       0	12,13,8,7,5,14,9,27,20,19,28,23,18,24,29,15,10,26,25,3,22,17,6,2,11,4,16,30,21,1	5,0,1,2,0,0,0,0,0,0,5,0,0,0,0,0,1,2,2,0,1,2,2,2,0,0,0,0,0,0
 3590.44       3	12,13,8,9,14,7,5,15,27,20,2,11,25,6,29,4,23,22,24,1,26,28,21,30,3,16,10,17,19,18	5,0,1,0,0,0,0,0,0,0,5,0,0,0,0,2,2,2,2,0,0,0,3,2,0,0,0,0,5,0
 3995.02      26	12,13,8,10,14,6,5,9,27,7,15,22,24,26,19,28,29,21,30,3,16,4,11,25,20,17,2,18,23,1	5,5,2,2,0,0,0,0,0,0,5,0,0,0,0,0,2,2,2,0,0,4,3,0,4,0,0,0,0,0
 3593.81       5	12,13,8,9,5,7,15,14,20,27,25,11,28,10,6,22,24,26,19,29,17,4,16,3,18,23,21,30,2,1	5,5,2,0,0,0,0,0,0,0,5,0,0,0,0,0,2,5,1,0,0,1,3,2,0,0,0,0,0,0
