11	7.47
 3837.46      72	5,27,45,18,13,23,3,9,11,53,58,7,55,44,38,32,49,29,35,22,30,37,16,60,1,25,19,52,10,26,31,15,51,8,20,34,21,43,42,59,14,54,41,28,47,4,46,57,36,50,33,6,24,48,39,40,17,56,2,12	17,0,0,17,0,14,8,12,1,5,0,2,1,5,3,12,10,0,6,1,4,13,0,16,8,15,0,0,2,3,5,3,18,1,3,1,5,16,8,1,11,3,3,11,0,16,15,10,7,7,7,5,1,11,8,10,10,0,3,8
 4113.21      96	5,27,45,18,13,23,3,58,11,9,41,53,4,47,52,46,1,15,31,26,2,25,36,22,12,35,19,42,43,21,40,39,28,34,20,10,30,49,33,60,55,38,17,6,24,8,7,48,16,50,44,32,57,51,14,59,54,37,29,56	5,0,0,15,0,11,1,12,1,5,0,2,1,5,3,12,8,0,6,1,7,13,0,16,16,3,0,0,5,3,5,0,5,16,16,7,7,1,2,1,0,3,13,11,0,16,15,1,7,10,18,10,1,0,8,10,10,0,3,8
 3068.79       0	5,27,23,3,58,11,53,9,41,33,26,48,24,6,28,39,37,46,19,43,21,44,29,35,22,25,51,40,50,7,8,13,18,45,57,47,34,20,10,30,49,32,31,4,17,38,55,60,1,15,52,54,14,59,42,16,56,2,36,12	5,0,0,15,0,11,1,12,1,5,0,4,1,6,4,12,10,0,1,1,14,13,0,1,16,3,0,0,18,3,5,1,1,3,4,16,7,5,0,1,0,15,3,11,16,5,15,1,7,10,18,5,1,11,14,4,1,0,3,5
 4115.07     104	5,27,45,18,13,23,3,58,11,53,9,41,2,25,55,36,28,39,40,21,43,47,24,6,38,44,35,22,59,14,50,33,51,7,56,4,48,1,60,16,17,42,49,30,10,20,31,34,57,8,54,46,52,26,29,19,37,32,15,12	5,0,0,15,0,11,1,12,1,5,0,2,1,6,3,12,10,0,1,1,4,13,0,13,16,3,0,0,2,0,14,1,1,0,4,7,7,1,2,16,0,3,3,3,0,1,8,14,5,10,18,5,1,3,11,10,11,0,3,8
  3259.5      15	5,27,23,3,58,11,53,9,41,28,33,40,39,50,16,19,52,8,18,45,22,36,55,25,2,48,43,21,44,29,35,51,37,32,26,31,15,1,60,38,17,6,24,13,7,34,20,10,30,49,4,47,56,42,14,59,54,46,57,12	17,14,0,15,0,2,13,5,1,5,0,4,1,6,4,12,10,0,1,1,4,13,0,0,16,4,0,0,18,3,19,1,1,16,11,7,5,5,2,3,0,3,13,3,0,1,15,1,7,10,18,7,1,11,11,10,1,0,3,8
 3317.61      27	23,3,58,5,11,27,9,53,41,39,28,7,45,34,20,10,30,49,33,26,32,44,19,8,60,52,35,24,4,38,18,13,29,51,57,36,40,16,55,47,6,2,25,37,15,48,46,54,17,42,59,22,14,50,31,43,21,1,56,12	17,0,0,15,0,11,0,12,1,5,0,3,1,2,4,12,10,0,6,1,4,13,0,1,16,3,0,0,18,3,14,11,18,1,16,16,7,5,0,1,0,3,1,11,0,5,8,14,7,10,18,5,1,18,11,10,1,0,3,5
 3991.03      80	27,5,45,18,13,23,3,58,11,9,53,20,29,51,57,36,40,28,41,16,32,38,55,4,47,24,6,2,25,39,8,33,49,30,10,34,7,52,46,14,54,50,22,35,21,43,42,19,12,48,59,37,60,1,15,31,26,17,56,44	17,0,0,15,0,11,0,5,1,6,0,2,1,2,4,12,10,0,6,1,4,13,0,16,16,3,0,0,18,3,5,1,18,1,16,1,5,5,0,1,0,15,3,11,0,16,15,1,7,16,7,5,1,11,11,10,1,0,3,5
  3496.7      54	5,27,45,23,3,58,11,53,9,41,28,33,40,39,49,1,60,55,37,59,16,48,2,36,12,19,42,43,18,13,21,25,35,22,51,50,57,54,14,6,24,7,8,52,46,4,47,34,20,10,30,15,31,26,32,38,17,56,29,44	5,0,0,17,0,14,1,5,1,5,0,4,1,2,4,12,10,0,1,4,4,13,0,16,14,3,0,0,18,3,19,1,1,16,3,1,7,1,5,16,0,3,13,16,0,16,15,1,10,10,7,5,1,11,11,15,1,0,3,8
 4276.24     108	5,27,45,18,13,23,3,9,11,58,53,41,33,26,48,24,6,47,57,8,7,50,2,25,55,36,28,39,40,21,43,38,44,20,29,51,16,32,4,19,46,15,37,54,17,42,49,35,59,22,14,34,31,10,30,60,1,52,56,12	5,14,0,15,0,14,0,12,1,6,0,3,1,6,3,12,10,0,1,1,4,13,0,16,14,15,0,0,18,3,5,0,1,3,3,16,5,1,0,1,0,15,13,16,0,16,15,1,5,16,4,5,1,11,11,10,1,0,3,5
 3947.03      77	5,27,45,18,13,23,3,9,11,53,28,39,37,26,31,15,1,60,17,6,24,47,4,41,49,32,38,44,55,7,58,2,56,36,57,16,42,59,14,54,46,33,30,10,20,34,8,52,19,48,43,21,29,35,22,25,50,40,51,12	5,0,0,15,0,11,13,5,1,5,0,3,1,2,4,12,10,0,1,1,4,13,0,16,16,3,0,0,1,5,5,16,3,1,18,7,7,3,18,1,0,15,3,11,0,16,8,7,7,10,7,5,1,18,11,8,1,0,3,5
 4435.39     134	27,5,45,18,13,23,3,58,11,53,9,41,28,33,40,39,49,1,60,55,37,59,16,48,2,36,12,19,42,43,21,25,35,22,51,50,57,54,14,6,24,47,4,46,52,8,7,34,20,10,30,15,31,26,32,38,17,56,29,44	17,0,0,15,0,11,0,5,1,5,0,2,1,2,4,12,10,0,1,1,4,13,0,16,16,3,0,0,18,3,19,1,1,1,11,1,5,1,2,1,0,3,13,11,0,16,15,1,7,16,7,5,1,3,11,10,1,0,3,5
