8	2.42
 2100.08       0	12,15,3,2,14,22,28,8,29,1,17,27,25,24,16,7,18,19,6,23,10,21,30,20,11,4,5,26,9,13	1,0,0,1,2,0,0,2,1,0,2,0,0,0,0,3,0,1,1,0,0,0,0,0,2,0,3,2,2,0
 2104.32       4	22,12,15,3,2,14,21,10,23,6,19,18,1,17,27,25,24,16,7,29,8,28,30,20,11,4,5,26,9,13	0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,2,0,2,0,1,2,0,1
 2380.07      14	22,12,15,3,2,14,7,18,17,1,29,8,28,16,24,11,20,30,21,10,23,6,19,27,25,4,5,26,9,13	0,0,0,1,2,1,0,1,1,0,2,0,0,0,0,0,1,1,1,0,0,0,0,0,2,0,0,2,0,0
 2477.87      16	22,12,15,3,2,14,29,1,17,18,7,25,13,5,9,24,30,6,19,28,16,8,23,10,21,4,27,11,26,20	0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,2,2,0,0,2,0,0
 2372.41      10	12,15,3,2,22,14,7,18,17,11,24,16,28,8,29,1,20,30,21,23,6,19,25,27,13,26,5,9,10,4	0,0,0,1,0,1,0,2,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,2,2,2,3,2,1,0
 2874.58      31	22,12,15,3,2,14,29,7,16,10,1,28,17,24,26,6,8,18,11,27,25,23,19,21,30,9,5,13,20,4	0,0,0,1,2,0,0,1,0,0,2,0,0,0,0,3,1,0,0,1,0,0,0,2,2,0,3,2,0,0
 2866.92      27	12,15,3,2,22,14,29,7,16,10,1,28,17,24,26,6,8,18,11,27,25,23,19,21,30,9,5,13,20,4	0,0,0,1,2,0,0,0,0,1,2,0,0,0,0,3,0,0,1,0,0,0,0,2,2,0,3,2,0,1
 2574.82      26	22,12,15,3,2,14,27,7,18,17,11,24,16,23,21,30,20,1,29,8,28,6,19,10,25,4,5,26,9,13	0,0,0,1,0,4,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,2,2,0
