8	75.5
 3083.13       3	3,7,43,41,51,58,17,28,42,39,29,52,49,19,10,57,47,2,44,22,11,13,48,33,36,50,35,12,18,5,59,30,6,14,34,46,24,25,32,26,1,8,4,27,56,37,9,20,21,45,15,23,40,55,60,31,54,16,53,38	9,0,0,8,7,0,0,2,1,5,2,1,4,5,10,2,0,11,5,6,4,8,1,5,8,8,12,0,0,6,2,10,2,4,5,10,2,0,0,2,0,2,0,1,2,3,6,5,10,7,0,1,0,5,2,1,0,0,2,6
 3311.13      21	3,28,43,51,41,7,58,17,42,39,49,29,36,25,9,26,32,20,37,27,24,35,33,10,21,45,57,8,16,47,2,15,23,54,40,13,44,22,48,14,6,4,30,1,55,52,18,31,50,5,60,19,53,59,34,12,56,46,11,38	9,0,0,1,7,1,0,8,1,5,2,1,5,5,10,4,0,11,5,6,4,1,1,5,8,8,12,0,0,6,2,10,5,4,0,3,3,0,0,3,0,2,0,4,2,7,6,5,0,9,0,9,0,1,2,5,0,0,2,8
 3060.88       0	3,7,43,17,58,51,41,28,42,39,29,52,49,19,8,6,4,35,24,27,37,10,57,47,2,44,22,11,13,48,33,36,50,12,23,15,32,14,46,1,30,40,55,5,18,60,31,16,56,9,25,21,26,54,34,59,53,45,20,38	8,0,0,8,7,1,0,8,1,5,2,1,4,5,10,2,0,11,5,6,4,8,1,5,12,8,12,0,10,6,2,10,2,4,5,10,2,0,0,3,0,2,0,4,6,3,6,5,0,0,0,1,0,5,2,1,0,0,2,6
 3287.67      18	3,7,43,17,28,58,51,41,8,4,31,60,18,5,6,10,47,16,19,35,21,13,57,26,33,54,49,12,34,56,37,9,27,25,42,23,15,48,32,14,36,50,24,46,1,30,40,55,59,53,52,39,29,45,20,11,22,44,2,38	1,0,0,8,1,2,0,8,6,5,2,2,4,4,10,10,0,11,5,6,4,8,1,5,12,8,1,0,0,6,5,10,2,2,3,10,7,5,0,2,0,2,0,4,2,5,6,5,0,9,0,9,0,5,2,1,0,0,2,8
 3091.69      11	41,51,7,3,43,58,17,28,42,39,23,15,29,52,49,19,56,44,45,54,22,25,21,46,53,12,50,47,2,38,1,31,11,13,20,32,26,9,48,36,37,27,24,35,33,10,57,8,16,40,34,60,5,18,55,30,4,6,14,59	9,0,0,8,6,1,0,8,1,5,2,2,10,2,10,2,0,11,5,6,4,12,1,5,8,2,3,0,0,6,8,0,2,4,9,3,3,0,0,3,0,1,0,4,2,7,0,5,6,9,0,9,0,5,2,5,0,0,2,8
 3088.37       9	3,43,41,51,7,58,17,28,42,39,23,15,48,32,14,36,50,24,46,1,30,8,4,31,49,20,54,21,45,44,19,10,40,35,25,27,55,57,47,13,2,38,16,33,56,37,9,11,22,52,29,26,53,6,59,34,12,60,18,5	8,0,0,1,6,1,0,2,1,4,2,2,4,4,10,2,0,11,0,6,4,1,1,5,8,8,12,0,0,6,4,0,5,2,2,5,0,3,3,3,0,1,0,4,6,9,6,5,0,0,0,9,0,5,2,1,0,0,2,6
 3504.51      72	3,28,43,51,41,7,58,19,53,59,34,24,35,33,10,21,57,8,16,46,12,20,32,26,25,29,49,39,36,45,44,27,9,37,56,15,23,48,1,42,17,60,5,50,31,18,52,55,30,4,6,14,22,13,40,54,2,47,11,38	9,0,0,8,7,1,0,8,3,5,6,2,10,5,10,2,0,11,0,6,4,1,1,5,12,8,3,0,0,10,2,10,5,6,0,8,1,5,0,3,0,2,0,4,6,7,6,5,0,0,0,1,0,5,0,5,0,0,2,6
 3094.61      12	51,41,43,3,7,58,17,28,42,39,23,15,48,29,52,49,19,10,36,6,4,35,24,27,37,20,32,26,9,22,11,13,56,44,45,54,31,1,38,2,47,50,12,53,46,25,33,21,57,8,16,40,14,30,55,18,5,60,59,34	8,0,0,1,7,1,0,8,1,5,2,1,4,4,10,2,0,11,0,6,4,1,1,5,8,8,3,0,0,6,2,10,2,4,2,5,0,5,3,3,0,2,0,4,6,5,6,5,0,9,0,9,0,1,2,1,0,0,2,6
