12	75.75
 4088.61       0	10,12,22,11,7,1,8,31,58,27,20,41,17,56,37,16,13,42,2,59,33,14,28,60,25,49,38,48,52,44,21,23,51,53,39,6,4,34,40,46,3,43,24,30,36,47,19,32,18,26,57,45,29,35,9,50,15,55,54,5	0,6,0,5,11,10,0,0,10,0,0,0,6,10,9,2,10,12,15,17,17,0,0,0,3,10,0,10,10,8,0,7,10,3,7,6,16,11,7,14,7,7,7,7,7,8,7,14,7,14,7,7,7,10,1,2,0,0,9,7
  4711.2     115	10,12,22,11,31,7,27,34,8,58,1,43,45,3,16,13,42,60,15,24,51,23,21,54,38,6,55,25,32,47,36,26,57,50,9,35,29,40,53,19,48,49,14,28,52,44,46,37,56,17,59,39,4,2,33,41,20,30,18,5	0,6,18,18,11,10,0,0,10,0,0,0,6,10,9,2,10,12,15,17,17,0,0,0,3,10,0,10,10,8,0,7,10,0,1,6,16,11,7,14,7,7,0,7,0,7,2,0,8,7,7,11,14,7,12,2,0,0,9,7
 4249.74       2	10,12,22,34,11,7,31,1,8,58,27,20,2,42,13,16,37,56,17,41,19,53,51,23,21,44,52,48,38,49,25,60,28,14,33,59,39,6,4,40,46,3,43,24,30,18,32,47,36,26,57,50,9,35,29,45,15,55,54,5	0,6,0,18,11,10,0,0,10,0,0,0,6,10,9,2,10,12,15,17,17,0,0,0,3,10,0,10,10,0,0,7,3,0,7,12,7,14,7,7,7,6,8,7,7,7,7,10,7,7,7,7,16,10,8,14,0,0,9,7
 4651.42      92	10,12,22,34,11,7,31,1,8,58,27,43,30,6,46,18,47,36,26,57,24,4,40,19,48,52,44,21,23,51,53,49,60,45,3,54,55,29,15,2,50,9,35,32,25,38,20,41,16,37,56,17,13,42,39,59,33,14,28,5	0,6,0,18,11,10,0,0,10,0,0,0,6,10,9,2,10,12,15,17,17,0,0,0,3,10,0,10,10,8,0,7,10,0,10,12,8,0,7,14,7,6,0,7,0,10,7,14,7,7,7,7,16,7,1,14,0,0,9,7
 4705.71     100	10,12,22,34,11,7,31,1,8,58,27,43,45,3,16,9,50,57,26,36,47,32,25,55,13,42,60,15,24,17,19,20,41,56,37,53,44,21,28,14,33,59,2,39,29,35,30,5,18,46,6,40,49,38,4,52,48,23,51,54	0,6,0,18,11,10,0,0,10,0,0,0,6,10,9,2,10,12,15,17,17,0,0,0,3,10,0,10,10,8,0,7,10,0,1,12,8,11,7,14,4,7,0,7,0,10,1,14,7,7,7,7,16,10,1,14,0,0,9,7
 4326.18      16	10,12,22,34,11,7,31,58,8,1,27,45,3,16,13,42,60,15,24,51,52,44,21,23,53,19,36,47,32,18,25,28,14,33,48,49,2,4,6,39,59,41,38,30,43,46,54,55,29,35,9,50,37,56,17,20,40,26,57,5	0,6,18,18,11,10,0,0,10,0,0,0,6,10,9,2,10,12,15,17,17,0,0,0,3,10,0,10,10,8,0,7,10,0,1,16,8,11,7,7,7,7,0,7,0,0,16,7,7,7,7,7,7,7,7,14,0,0,9,7
 4673.56      98	10,12,22,34,11,7,31,58,8,1,27,43,30,50,9,35,26,55,20,19,53,44,37,56,17,41,16,29,3,45,13,42,60,18,46,52,25,23,51,47,36,57,39,2,59,33,14,28,21,15,24,4,48,38,49,40,54,6,32,5	0,6,18,18,11,18,0,0,10,0,0,0,6,10,9,2,10,12,15,17,17,0,0,0,3,10,0,10,10,8,0,7,10,0,1,16,8,16,7,7,7,8,0,7,7,0,16,7,7,7,7,7,7,7,7,14,0,0,9,7
 4304.03      10	10,12,22,34,11,7,31,1,8,58,27,45,3,16,13,42,60,15,24,51,52,44,21,23,53,49,48,33,14,28,25,18,32,47,36,19,2,4,6,39,59,41,38,30,43,46,54,55,29,35,9,50,37,56,17,20,40,26,57,5	0,6,18,18,11,10,0,0,10,0,0,0,6,10,9,2,10,12,15,17,17,0,0,0,3,10,0,10,10,8,0,7,10,0,1,12,8,7,7,11,7,7,0,7,0,0,16,14,7,7,7,7,16,10,7,14,0,0,9,7
 4278.73       7	10,12,22,34,11,7,31,58,1,8,27,20,41,16,37,56,17,13,42,2,15,24,4,43,32,40,19,48,52,44,21,23,51,53,38,49,25,60,39,45,55,54,29,5,35,57,26,3,59,33,14,28,6,46,50,9,18,47,36,30	0,6,0,18,11,10,0,0,10,0,0,0,6,10,9,2,10,12,15,10,17,0,0,0,3,10,0,10,10,8,0,7,10,0,10,6,7,0,7,7,7,14,7,7,14,8,16,14,7,7,7,7,7,10,1,14,0,0,9,7
 4717.35     121	10,12,22,34,11,7,31,58,27,8,1,43,45,3,16,9,50,57,26,36,47,32,6,55,25,38,54,21,23,51,24,15,60,42,13,35,29,40,53,19,48,49,14,28,52,44,46,37,56,17,59,39,4,2,33,41,20,30,18,5	0,6,18,18,11,10,0,0,10,0,0,0,6,17,9,2,15,12,15,17,17,0,0,0,3,10,0,10,10,8,0,7,10,0,1,16,8,14,7,14,7,14,0,7,0,14,1,0,8,7,7,7,7,7,12,14,0,0,9,7
  4415.6      65	10,12,22,34,11,31,7,27,45,43,1,58,8,3,16,13,42,60,15,24,37,56,17,55,6,38,54,21,23,51,20,4,2,25,32,47,36,52,28,14,49,48,19,53,40,29,35,9,50,57,26,41,44,33,59,5,39,46,30,18	0,6,18,18,11,10,0,0,10,0,0,0,6,10,9,2,10,12,15,17,17,0,0,0,3,10,0,10,10,8,0,7,10,0,1,12,8,11,7,11,12,7,0,7,0,7,16,14,8,14,7,7,16,10,12,2,0,0,9,7
 4338.36      64	1,43,45,27,7,31,11,34,22,12,10,58,8,20,41,16,37,33,6,38,54,23,51,49,59,55,60,3,21,44,52,48,19,40,32,4,24,15,2,42,13,17,56,14,28,29,35,9,50,18,46,30,39,57,26,36,47,25,53,5	0,6,18,18,11,10,0,0,10,0,0,0,6,10,9,2,10,12,15,17,17,0,0,0,3,10,0,10,10,8,0,7,10,0,1,6,7,0,7,11,7,14,0,12,0,8,16,14,8,14,14,7,7,10,1,10,0,0,9,7
