9	2.56
 2643.14       4	1,7,11,9,30,16,8,5,24,3,23,27,28,12,19,22,26,20,6,2,15,14,29,13,25,17,18,4,21,10	0,0,0,0,0,2,0,0,0,5,0,1,4,0,0,0,0,3,1,2,0,0,0,0,0,1,0,4,5,0
  2848.3      12	1,7,11,9,30,16,8,12,3,24,14,26,13,2,20,22,23,6,5,19,10,27,4,28,29,18,15,17,25,21	0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,3,2,2,3,3,0,3,0,0,2,2,3,5,0
 2849.09      16	1,30,11,9,7,16,8,12,3,24,14,26,20,2,13,22,23,17,5,19,10,25,29,15,28,27,6,18,4,21	0,0,0,0,0,2,0,0,0,5,0,0,3,0,0,0,3,2,0,2,0,0,0,0,4,3,3,4,5,0
 2640.87       0	1,7,11,16,30,9,8,5,24,3,13,2,27,28,12,19,22,26,20,14,23,6,10,25,29,15,17,18,4,21	0,0,0,0,0,2,0,0,0,5,0,1,3,0,0,0,3,2,2,0,0,0,0,0,2,3,1,3,5,0
 2698.52       8	1,30,11,9,7,16,8,14,3,24,12,26,20,2,13,22,23,18,28,17,25,29,15,19,5,10,27,4,6,21	0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,3,2,0,3,0,0,0,0,0,1,3,3,5,0
 2987.04      54	1,30,11,9,7,16,8,12,3,24,4,5,23,6,20,19,14,2,13,25,29,15,27,28,22,26,17,18,21,10	0,0,0,0,0,2,0,0,0,5,0,1,0,0,0,0,3,2,2,2,0,0,0,0,0,3,3,2,5,0
 2824.36      11	7,11,1,9,30,16,8,24,3,23,14,26,13,2,17,29,25,5,12,28,6,20,18,19,22,27,15,4,21,10	0,0,0,0,0,2,0,0,0,5,0,0,3,0,0,0,0,2,2,0,0,0,0,0,0,1,2,4,5,0
 2850.88      20	1,7,11,9,30,16,8,3,12,24,14,26,20,2,13,22,23,17,19,28,29,15,4,27,18,25,10,6,5,21	0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,2,1,0,0,0,0,1,0,3,5,0
 2952.87      24	1,7,11,9,30,16,8,3,4,24,14,26,20,2,13,22,23,17,19,28,29,15,12,27,18,25,10,6,5,21	0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,2,1,0,0,0,0,1,0,3,5,0
