15	27.46
 3642.86       7	17,22,15,12,29,30,4,13,8,1,6,14,20,2,16,11,24,21,25,28,3,23,10,19,9,18,27,5,7,26	0,0,0,0,2,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,0,0,0,0
 3645.54       9	17,22,15,12,4,30,29,13,8,1,6,14,20,2,16,11,24,7,5,27,18,3,28,23,9,19,10,21,25,26	0,0,0,0,3,1,1,0,1,0,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,0,0,0,0
 3646.07      11	17,22,15,12,4,30,13,29,8,1,18,9,24,16,23,3,28,20,2,21,14,25,11,7,5,27,19,10,6,26	0,0,0,0,2,0,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
 3716.25      27	12,22,17,3,4,28,13,8,15,1,20,2,30,21,16,11,9,5,10,29,6,14,23,25,24,18,27,19,7,26	0,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0
 3790.36      29	12,22,29,3,4,28,13,8,15,1,20,23,19,9,2,5,11,18,16,24,17,27,7,30,6,14,10,21,25,26	0,0,0,0,3,0,1,0,1,0,3,0,0,0,0,0,0,0,3,0,3,0,0,1,0,0,0,0,0,0
 3790.94      31	12,22,4,3,29,28,13,8,15,1,20,23,19,10,26,14,6,25,7,24,16,30,21,17,11,18,5,2,9,27	0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
  3636.8       6	17,22,15,30,4,29,12,13,8,1,6,5,28,3,16,27,7,11,25,14,21,20,23,24,9,18,2,19,10,26	0,0,0,0,0,1,1,0,1,0,2,0,0,0,0,0,0,0,3,0,3,0,0,3,0,3,0,0,0,0
 3439.84       4	12,22,4,3,29,28,13,8,1,17,20,23,19,16,15,9,2,5,11,6,10,21,27,14,30,25,18,24,7,26	0,0,0,0,2,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 3439.26       2	12,22,29,3,4,28,13,8,1,17,20,23,2,9,16,15,30,14,27,21,10,6,11,5,19,25,18,24,7,26	0,0,0,0,2,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
 3792.64      33	12,22,14,3,4,28,13,8,15,1,20,18,11,17,21,30,16,24,7,25,6,9,26,10,19,23,5,2,29,27	0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
 3646.69      13	17,22,15,12,4,30,1,13,8,29,18,3,16,9,20,23,19,28,2,5,11,6,10,25,21,27,14,24,7,26	0,0,0,0,2,0,1,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0
 3646.73      22	17,22,4,12,15,30,1,13,8,29,18,19,5,11,6,10,21,27,14,28,2,23,20,9,16,24,7,3,25,26	0,0,0,0,2,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0
 3433.32       0	12,22,4,3,6,28,13,8,1,17,20,7,27,29,5,16,30,15,23,19,9,2,11,10,21,14,25,18,24,26	0,0,0,0,2,0,1,0,1,0,3,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0
  3859.3      43	12,22,14,3,4,28,13,8,15,29,1,20,23,19,16,24,7,25,6,9,26,10,30,21,17,11,18,5,2,27	0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
 3852.13      37	12,22,14,3,29,28,13,8,15,4,1,20,10,26,9,30,17,18,19,23,16,2,5,11,6,25,21,27,24,7	0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0
