10	25.88
 5024.64       5	22,11,19,28,30,9,24,4,1,8,6,2,23,16,26,12,10,7,13,15,27,20,17,29,14,3,18,21,5,25	0,0,4,0,0,0,0,0,0,0,0,0,3,0,3,0,0,2,0,5,3,0,4,0,5,2,2,0,0,0
 5021.33       0	22,11,19,28,30,9,1,4,24,8,6,2,23,16,26,12,10,7,13,15,5,21,14,3,18,29,17,20,27,25	0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,5,2,2,0,0,0
 5362.68      45	22,11,19,28,30,9,24,4,1,8,25,2,18,6,16,3,26,29,10,7,13,15,23,14,20,27,17,5,21,12	0,0,0,0,0,0,0,0,0,0,0,0,5,5,3,2,5,0,0,0,0,0,0,0,0,2,0,0,2,0
 5359.37      40	22,11,19,28,30,9,1,4,24,8,25,2,18,6,16,3,26,23,15,13,7,10,29,14,27,20,17,5,12,21	0,0,4,0,0,0,0,0,0,0,0,0,5,5,3,5,0,0,0,0,3,0,4,0,0,2,4,0,2,0
 5096.79      15	22,11,19,28,30,9,24,18,1,8,25,2,4,6,16,3,26,23,12,27,10,17,15,13,29,14,20,7,21,5	0,0,4,0,0,0,0,0,0,0,0,0,4,2,3,5,5,0,0,0,3,0,0,0,0,2,4,0,0,0
 5319.89      30	22,11,19,28,30,9,1,4,24,8,6,2,18,12,27,13,21,10,23,17,16,3,15,14,7,5,20,25,26,29	0,0,4,0,0,0,0,0,0,0,0,0,0,4,3,5,5,0,0,0,0,0,3,0,5,0,4,0,0,0
 5098.93      25	22,11,19,28,24,9,30,18,1,8,25,2,4,6,16,23,26,12,10,7,13,15,5,21,14,3,29,17,20,27	0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,3,0,0,0,0,2,2,0,0,0
 5323.19      35	22,11,19,9,30,28,24,4,1,8,6,2,18,12,27,13,21,10,23,17,16,3,15,14,7,5,20,25,26,29	0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,5,5,0,0,3,0,0,3,0,0,3,2,0,0,0
 5094.37      10	22,11,19,28,30,9,1,24,18,8,25,2,4,6,16,3,27,12,26,13,21,10,15,17,23,14,7,5,20,29	0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,5,5,0,0,0,0,0,0,0,0,2,4,0,0,0
 5365.71      55	22,11,19,28,24,9,30,4,1,8,25,2,18,6,16,3,26,23,15,13,7,27,12,21,10,17,14,5,20,29	0,0,4,0,0,0,0,0,0,0,0,0,5,5,2,5,5,0,0,0,0,0,0,0,0,2,4,0,0,0
